latitude,longitude,property,depth,metric,value,unit,transformed_value,transformed_unit
52.53,14.12,bdod,0-5cm,Q0.05,80,cg/cm³,0.8,kg/dm³
52.53,14.12,bdod,0-5cm,Q0.5,140,cg/cm³,1.4,kg/dm³
52.53,14.12,bdod,0-5cm,Q0.95,176,cg/cm³,1.76,kg/dm³
52.53,14.12,bdod,0-5cm,mean,138,cg/cm³,1.38,kg/dm³
52.53,14.12,bdod,0-5cm,uncertainty,7,cg/cm³,0.07,kg/dm³
52.53,14.12,cec,0-5cm,Q0.05,37,mmol(c)/kg,3.7,cmol(c)/kg
52.53,14.12,cec,0-5cm,Q0.5,216,mmol(c)/kg,21.6,cmol(c)/kg
52.53,14.12,cec,0-5cm,Q0.95,649,mmol(c)/kg,64.9,cmol(c)/kg
52.53,14.12,cec,0-5cm,mean,282,mmol(c)/kg,28.2,cmol(c)/kg
52.53,14.12,cec,0-5cm,uncertainty,28,mmol(c)/kg,2.8,cmol(c)/kg
52.53,14.12,cfvo,0-5cm,Q0.05,0,cm³/dm³,0.0,cm³/100cm³
52.53,14.12,cfvo,0-5cm,Q0.5,55,cm³/dm³,5.5,cm³/100cm³
52.53,14.12,cfvo,0-5cm,Q0.95,130,cm³/dm³,13.0,cm³/100cm³
52.53,14.12,cfvo,0-5cm,mean,57,cm³/dm³,5.7,cm³/100cm³
52.53,14.12,cfvo,0-5cm,uncertainty,24,cm³/dm³,2.4,cm³/100cm³
52.53,14.12,clay,0-5cm,Q0.05,15,g/kg,1.5,%
52.53,14.12,clay,0-5cm,Q0.5,43,g/kg,4.3,%
52.53,14.12,clay,0-5cm,Q0.95,465,g/kg,46.5,%
52.53,14.12,clay,0-5cm,mean,97,g/kg,9.7,%
52.53,14.12,clay,0-5cm,uncertainty,105,g/kg,10.5,%
52.53,14.12,nitrogen,0-5cm,Q0.05,50,cg/kg,0.5,g/kg
52.53,14.12,nitrogen,0-5cm,Q0.5,300,cg/kg,3.0,g/kg
52.53,14.12,nitrogen,0-5cm,Q0.95,2500,cg/kg,25.0,g/kg
52.53,14.12,nitrogen,0-5cm,mean,649,cg/kg,6.49,g/kg
52.53,14.12,nitrogen,0-5cm,uncertainty,82,cg/kg,0.82,g/kg
52.53,14.12,ocd,0-5cm,Q0.05,88,dg/dm³,8.8,hg/m³
52.53,14.12,ocd,0-5cm,Q0.5,351,dg/dm³,35.1,hg/m³
52.53,14.12,ocd,0-5cm,Q0.95,1082,dg/dm³,108.2,hg/m³
52.53,14.12,ocd,0-5cm,mean,377,dg/dm³,37.7,hg/m³
52.53,14.12,ocd,0-5cm,uncertainty,28,dg/dm³,2.8,hg/m³
